"hill0","hill1","hill2","Nu","M","Jm","Sm","J","timesteps"
449,41.952467792827,4.02207313737792,0.518936895439401,0.359647967247292,10000,1000,1000,1000
298,23.9176421909438,3.30615672505345,0.179964457545429,0.497318662935868,10000,1000,1000,1000
379,25.8573007224003,3.14905087606603,0.52091663768515,0.152510344516486,10000,1000,1000,1000
408,41.4288403706908,4.2184481173066,0.388905861368403,0.585546089429408,10000,1000,1000,1000
163,6.36205454367,1.81933295976362,0.0207145693246275,0.306082191551104,10000,1000,1000,1000
290,14.8212386268924,2.48421282748139,0.314304765500128,0.175201001577079,10000,1000,1000,1000
287,16.144864628061,2.62191924488728,0.253755511343479,0.296016880637035,10000,1000,1000,1000
142,4.01412640498287,1.51587270307388,0.157137333741412,0.0863375836517662,10000,1000,1000,1000
159,4.91030509390125,1.62592637155018,0.161924107046798,0.0727890450507402,10000,1000,1000,1000
170,6.84121392758063,1.87436505883631,0.0592233551200479,0.252696858113632,10000,1000,1000,1000
329,30.6302303163142,3.75547360277613,0.218742562271655,0.555073237745091,10000,1000,1000,1000
392,30.472250137723,3.4472298061279,0.533197279181331,0.169475708948448,10000,1000,1000,1000
268,12.4607717551929,2.30679443232099,0.365686815138906,0.0904129547998309,10000,1000,1000,1000
433,40.9995492867441,4.03717430096326,0.471713752113283,0.387271125661209,10000,1000,1000,1000
312,15.6668836553656,2.50828989811331,0.422110140603036,0.115710270870477,10000,1000,1000,1000
226,8.33838719741438,1.95446869722932,0.267341718496755,0.0575900837313384,10000,1000,1000,1000
396,39.1896937842265,4.11583609094351,0.33400952978991,0.572272404050454,10000,1000,1000,1000
58,1.88366627544218,1.20196063819302,0.0595720955170691,0.030646974267438,10000,1000,1000,1000
288,20.5141450102093,2.99625468164799,0.146259993128479,0.472725137835369,10000,1000,1000,1000
471,51.6429837114972,4.5709688625601,0.511383239692077,0.408025505533442,10000,1000,1000,1000
441,42.2752680544855,4.08646969882717,0.548037048568949,0.360859502339736,10000,1000,1000,1000
150,4.57899210971484,1.59316341714434,0.148264425806701,0.0776142618153244,10000,1000,1000,1000
381,24.8628475756676,3.06207437166242,0.539429361093789,0.0234925051219761,10000,1000,1000,1000
270,19.1722069828941,2.95407011780836,0.116928939521313,0.479636854911223,10000,1000,1000,1000
173,5.34259044253129,1.66820697777614,0.229946335824206,0.0310145827475935,10000,1000,1000,1000
274,13.5637028095478,2.40033796758587,0.257829051325098,0.266539695113897,10000,1000,1000,1000
